-0.22;0.02;0.99
-0.22;0.02;0.98
-0.22;0.02;0.99
-0.22;0.02;0.98
-0.22;0.02;0.99
-0.22;0.02;0.98
-0.22;0.03;0.98
-0.22;0.02;0.99
-0.22;0.02;0.99
-0.22;0.03;0.98
-0.22;0.02;0.99
-0.22;0.02;0.98
-0.22;0.02;0.99
-0.22;0.02;0.99
-0.22;0.02;0.99
-0.22;0.02;0.99
-0.22;0.02;0.98
-0.22;0.02;0.99
-0.22;0.02;0.99
-0.21;0.02;0.98
-0.56;0.07;0.73
-0.12;0.09;0.77
-0.48;0.12;1.20
0.16;0.12;0.87
0.11;0.04;0.88
0.09;-0.05;0.87
0.06;-0.04;0.86
0.05;-0.02;1.01
-0.07;-0.07;0.89
0.06;-0.06;1.16
0.01;0.02;1.05
-0.99;0.16;2.02
-1.67;0.02;3.16
-0.46;1.74;1.43
-2.25;3.29;-4.00
0.27;3.72;-1.31
-2.20;1.07;2.16
-4.00;-2.29;3.44
0.43;2.28;4.00
4.00;4.00;-4.00
-3.85;2.23;4.00
-4.00;-1.49;1.97
-0.15;0.40;3.19
4.00;4.00;-4.00
-1.42;2.28;1.48
-4.00;-2.20;2.75
-0.83;1.22;3.37
3.52;4.00;-4.00
0.57;2.36;-0.08
-2.88;-0.85;1.91
-2.11;-1.54;2.54
2.26;1.57;-0.39
0.70;1.61;-0.21
-3.56;-1.02;2.64
-2.07;-0.10;3.09
-0.47;2.19;-0.35
2.42;2.48;-1.49
-2.93;-0.73;2.74
-3.00;-1.26;1.96
1.80;2.10;-1.02
2.23;1.66;0.21
-2.58;-0.41;1.48
-4.00;-1.20;1.24
0.63;1.36;1.27
3.46;2.52;-1.36
-3.65;-0.46;2.65
-3.53;-0.54;1.12
2.48;1.89;-0.28
2.06;1.15;-0.23
-1.67;0.22;1.79
-3.34;-0.64;0.74
0.43;0.30;1.15
2.36;0.48;-0.35
0.16;0.24;0.81
-1.29;-0.21;2.16
-0.56;0.10;0.63
0.07;-0.01;0.96
0.27;0.04;0.81
-0.21;-0.09;1.16
-0.37;-0.03;0.94
-0.23;0.04;1.02
-0.13;0.07;0.74
0.01;0.12;1.12
-0.47;0.27;0.77
-0.57;0.15;1.05
-0.45;0.16;1.03
-0.28;0.40;0.76
-0.26;0.10;1.11
0.07;-0.06;1.05
-0.31;-0.03;1.05
-0.34;0.19;0.97
-0.25;-0.03;0.96
-0.27;-0.03;0.96
-0.29;0.11;0.95
-0.24;0.05;1.00
-0.17;0.11;0.88
-0.23;-0.18;1.10
-0.04;-0.01;0.91
-0.32;0.01;0.95
-0.30;-0.00;0.94
